packet_number,length,bssid,ta,ra,fc_type_subtype,fc_type,data_rate,channel,frequency,phy,retry,short_gi,signal_strength,bandwidth,mcs_index,tsf_timestamp,timestamp_wireshark,timestamp_readable
84,80,c0:94:ad:9e:5d:cc,0c:8e:29:5c:9a:5c,c0:94:ad:9e:5d:cc,0x0024,2,6,116,5580,5,True,False,-97,,,,1743180131.3557494,2025-03-28 18:42:11.355749
85,80,c0:94:ad:9e:5d:cc,0c:8e:29:5c:9a:5c,c0:94:ad:9e:5d:cc,0x0024,2,6,116,5580,5,True,False,-94,,,,1743180131.417033,2025-03-28 18:42:11.417033
86,80,c0:94:ad:9e:5d:cc,0c:8e:29:5c:9a:5c,c0:94:ad:9e:5d:cc,0x0024,2,6,116,5580,5,True,False,-94,,,,1743180131.5447083,2025-03-28 18:42:11.544708
87,177,ff:ff:ff:ff:ff:ff,a2:58:e6:ac:2c:7e,ff:ff:ff:ff:ff:ff,0x0004,0,6,149,5745,5,False,False,-63,,,,1743180133.5226324,2025-03-28 18:42:13.522632
88,177,ff:ff:ff:ff:ff:ff,96:9a:b2:57:a4:64,ff:ff:ff:ff:ff:ff,0x0004,0,6,165,5825,5,False,False,-38,,,,1743180134.9939802,2025-03-28 18:42:14.993980
89,177,ff:ff:ff:ff:ff:ff,96:9a:b2:57:a4:64,ff:ff:ff:ff:ff:ff,0x0004,0,6,165,5825,5,False,False,-38,,,,1743180135.0142102,2025-03-28 18:42:15.014210
90,335,74:9d:79:64:e5:5f,74:9d:79:64:e5:5f,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-81,,,515056537637,1743180136.262886,2025-03-28 18:42:16.262886
91,383,74:9d:79:64:e5:5e,74:9d:79:64:e5:5e,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-80,,,515056640037,1743180136.3141024,2025-03-28 18:42:16.314102
92,335,74:9d:79:64:e5:5f,74:9d:79:64:e5:5f,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-81,,,515056640037,1743180136.3652043,2025-03-28 18:42:16.365204
93,383,74:9d:79:64:e5:5e,74:9d:79:64:e5:5e,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-80,,,515056742437,1743180136.4165115,2025-03-28 18:42:16.416512
