packet_number,length,bssid,ta,ra,fc_type_subtype,fc_type,data_rate,channel,frequency,phy,retry,short_gi,signal_strength,bandwidth,mcs_index,tsf_timestamp,timestamp_wireshark,timestamp_readable
133,66,,,34:36:54:d4:79:03,0x001c,1,24,1,2412,6,False,False,-72,,,,1742818034.413022,2025-03-24 14:07:14.413022
134,1308,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-33,,7,,1742818034.4132967,2025-03-24 14:07:14.413297
135,212,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-33,,7,,1742818034.4133103,2025-03-24 14:07:14.413310
136,84,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0019,1,24,1,2412,6,False,False,-72,,,,1742818034.4133148,2025-03-24 14:07:14.413315
137,72,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x001b,1,24,1,2412,6,False,False,-71,,,,1742818034.4136302,2025-03-24 14:07:14.413630
138,66,,,06:09:51:6a:a9:b3,0x001c,1,24,1,2412,6,False,False,-31,,,,1742818034.413644,2025-03-24 14:07:14.413644
139,1292,34:36:54:d4:79:03,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0028,2,65,1,2412,7,False,False,-71,,7,,1742818034.4141712,2025-03-24 14:07:14.414171
140,84,,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0019,1,24,1,2412,6,False,False,-31,,,,1742818034.4157357,2025-03-24 14:07:14.415736
141,66,,,34:36:54:d4:79:03,0x001c,1,24,1,2412,6,False,False,-31,,,,1742818034.4170246,2025-03-24 14:07:14.417025
142,1308,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-33,,7,,1742818034.4172502,2025-03-24 14:07:14.417250
143,66,,,34:36:54:d4:79:03,0x001c,1,24,1,2412,6,False,False,-29,,,,1742818034.4174502,2025-03-24 14:07:14.417450
144,1308,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,58.5,1,2412,7,True,False,-33,,6,,1742818034.4176514,2025-03-24 14:07:14.417651
145,66,,,34:36:54:d4:79:03,0x001c,1,24,1,2412,6,False,False,-31,,,,1742818034.4177423,2025-03-24 14:07:14.417742
146,1308,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,52,1,2412,7,True,False,-33,,5,,1742818034.4180238,2025-03-24 14:07:14.418024
147,66,,,34:36:54:d4:79:03,0x001c,1,24,1,2412,6,False,False,-31,,,,1742818034.4180977,2025-03-24 14:07:14.418098
148,1308,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,39,1,2412,7,True,False,-31,,4,,1742818034.418446,2025-03-24 14:07:14.418446
149,66,,,34:36:54:d4:79:03,0x001c,1,12,1,2412,6,False,False,-29,,,,1742818034.4185522,2025-03-24 14:07:14.418552
150,1308,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,26,1,2412,7,True,False,-31,,3,,1742818034.4190056,2025-03-24 14:07:14.419006
151,84,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0019,1,24,1,2412,6,False,False,-71,,,,1742818034.4190187,2025-03-24 14:07:14.419019
152,66,,,34:36:54:d4:79:03,0x001c,1,24,1,2412,6,False,False,-31,,,,1742818034.4207802,2025-03-24 14:07:14.420780
153,1308,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,65,1,2412,7,False,False,-33,,7,,1742818034.4208045,2025-03-24 14:07:14.420805
154,84,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0019,1,24,1,2412,6,False,False,-72,,,,1742818034.4208124,2025-03-24 14:07:14.420812
155,66,,,34:36:54:d4:79:03,0x001c,1,24,1,2412,6,False,False,-31,,,,1742818034.4248095,2025-03-24 14:07:14.424809
